accession;organism;description;basepairs;date;country;plasmid_name;plasmid_type;inc_type;transposon;beta-lactamases;beta-lactamases_range;kpc_type;kpc_start;kpc_end;integronfinder
CP006919.1;Klebsiella pneumoniae;30684/NJST258_2 plasmid pNJST258C2, complete sequence;25646;26-JUL-2016;USA;pNJST258C2;16;unknown;[Tn3] ;KPC-3 ;[KPC-3: 8101 - 8982] ;KPC-3;8101;8982;[integron_01: 23437 - 24381] 
CP007558.1;Citrobacter freundii;CFNIH1 plasmid pKEC-a3c, complete sequence;276187;26-JUL-2016;USA;pKEC-a3c;6;IncN;[Tn21] ;FOX-5 KPC-2 SHV-5 ;[FOX-5: 26723 - 27871] [KPC-2: 174714 - 175595] [SHV-5: 216401 - 217261] ;KPC-2;174714;175595;[integron_01: 53713 - 55842] [integron_02: 155928 - 158124] [integron_03: 164321 - 165335] [integron_04: 220813 - 223634] 
CP007730.1;Klebsiella pneumoniae;subsp. pneumoniae KPNIH10 plasmid pKpQIL-6e6, complete sequence;115263;26-JUL-2016;USA;pKpQIL-6e6;60;IncFIB;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 15984 - 16865] [TEM-181: 28051 - 28911] [OXA-9: 26527 - 27351] ;KPC-3;15984;16865;[integron_01: 51344 - 51423] 
CP007732.1;Klebsiella pneumoniae;subsp. pneumoniae KPNIH27 plasmid pKEC-dc3, complete sequence;272168;26-JUL-2016;USA;pKEC-dc3;6;IncN;[Tn21] ;FOX-5 KPC-2 SHV-5 ;[FOX-5: 26723 - 27871] [KPC-2: 174725 - 175606] [SHV-5: 216412 - 217272] ;KPC-2;174725;175606;[integron_01: 53724 - 55853] [integron_02: 155939 - 158135] [integron_03: 164332 - 165346] [integron_04: 220824 - 223645] 
CP008791.1;Klebsiella oxytoca;KONIH1 plasmid pKPC-727, complete sequence;208523;26-JUL-2016;USA;pKPC-727;24;unknown;[Tn3] ;KPC-2 KPC-2 OXA-9 TEM-40 TEM-181 ;[KPC-2: 63574 - 64455] [KPC-2: 152628 - 153509] [OXA-9: 143584 - 144408] [TEM-40: 61104 - 61652] [TEM-181: 145108 - 145426] ;KPC-2;63574;64455;[integron_01: 142061 - 144503] 
CP008798.1;Klebsiella pneumoniae;subsp. pneumoniae KPNIH24 plasmid pKPC-484, complete sequence;86695;26-JUL-2016;USA;pKPC-484;98;unknown;[Tn1721] [Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 34142 - 35023] [TEM-181: 46209 - 47069] [OXA-9: 44685 - 45509] ;KPC-2;34142;35023;[integron_01: 61443 - 62387] [integron_02: 81074 - 84439] 
CP008824.1;Enterobacter cloacae;ECNIH2 plasmid pKEC-39c, complete sequence;324548;17-JUL-2015;USA;pKEC-39c;6;IncN;[Tn21] ;FOX-5 KPC-2 SHV-5 ;[FOX-5: 26723 - 27871] [KPC-2: 222393 - 223274] [SHV-5: 264080 - 264940] ;KPC-2;222393;223274;[integron_01: 53713 - 55842] [integron_02: 203607 - 205803] [integron_03: 212000 - 213014] [integron_04: 268492 - 271313] 
CP008825.1;Enterobacter cloacae;ECNIH2 plasmid pKPC-272, complete sequence;286474;17-JUL-2015;USA;pKPC-272;8;IncHI2A;[Tn3] ;KPC-3 TEM-1 ;[KPC-3: 126219 - 127100] [TEM-1: 116356 - 117216] ;KPC-3;126219;127100;[integron_01: 137404 - 140315] 
CP008826.1;Enterobacter cloacae;ECNIH2 plasmid pKPC-f91, complete sequence;47966;17-JUL-2015;USA;pKPC-f91;64;unknown;[Tn3] ;KPC-3 TEM-1 ;[KPC-3: 36400 - 37281] [TEM-1: 46284 - 47144] ;KPC-3;36400;37281; No Integron found
CP008833.1;Klebsiella pneumoniae;subsp. pneumoniae KPR0928 plasmid pKpQIL-531, complete sequence;115263;26-JUL-2016;USA;pKpQIL-531;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 15984 - 16865] [TEM-181: 28051 - 28911] [OXA-9: 26527 - 27351] ;KPC-2;15984;16865;[integron_01: 51344 - 51423] 
CP008901.1;Enterobacter cloacae;ECNIH3 plasmid pKPC-47e, complete sequence;51053;26-JUL-2016;USA;pKPC-47e;10;IncN;[unknown] ;KPC-2 ;[KPC-2: 28240 - 29121] ;KPC-2;28240;29121;[integron_01: 3095 - 5188] 
CP009465.1;Klebsiella pneumoniae;strain CAV1016 plasmid pKPC_UVA01, complete sequence;44245;26-JUL-2016;unknown;pKPC_UVA01;64;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 31532 - 32413] [TEM-1: 41416 - 42276] ;KPC-2;31532;32413; No Integron found
CP009466.1;Klebsiella oxytoca;strain CAV1015 plasmid pKPC_UVA02, complete sequence;114721;26-JUL-2016;unknown;pKPC_UVA02;79;IncFII;[Tn21] ;KPC-2 ;[KPC-2: 86740 - 87621] ;KPC-2;86740;87621; No Integron found
CP009773.1;Klebsiella pneumoniae;subsp. pneumoniae strain KPNIH33 plasmid pKPC-63d, complete sequence;76699;26-JUL-2016;USA;pKPC-63d;13;unknown;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 37750 - 38631] [TEM-181: 50614 - 51474] [OXA-9: 49090 - 49914] ;KPC-3;37750;38631;[integron_01: 47567 - 50431] [integron_02: 68535 - 70544] 
CP009776.1;Klebsiella pneumoniae;subsp. pneumoniae strain KPNIH32 plasmid pKPC-def, complete sequence;116968;26-JUL-2016;USA;pKPC-def;76;IncX3;[Tn3] ;KPC-3 SHV-12 TEM-181 OXA-9 ;[KPC-3: 37742 - 38623] [SHV-12: 67599 - 68459] [TEM-181: 50606 - 51466] [OXA-9: 49082 - 49906] ;KPC-3;37742;38623;[integron_01: 47559 - 50423] [integron_02: 64858 - 66867] 
CP009853.1;Enterobacter cloacae;strain ECNIH4 plasmid pKPC-860, complete sequence;57365;26-JUL-2016;USA;pKPC-860;82;IncN;[unknown] ;KPC-2 ;[KPC-2: 34464 - 35345] ;KPC-2;34464;35345;[integron_01: 3095 - 5188] 
CP009862.1;Escherichia coli;strain ECONIH1 plasmid pKPC-629, complete sequence;81332;26-JUL-2016;USA;pKPC-629;82;IncN;[Tn21] [Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 28240 - 29121] [TEM-181: 41172 - 42032] [OXA-9: 39648 - 40472] ;KPC-2;28240;29121;[integron_01: 3095 - 5188] [integron_02: 38125 - 40989] 
CP009864.1;Klebsiella pneumoniae;subsp. pneumoniae strain KPNIH29 plasmid pKPC-e4e, complete sequence;63484;26-JUL-2016;USA;pKPC-e4e;16;IncN;[Tn3] ;KPC-3 OXA-9 TEM-183 ;[KPC-3: 28240 - 29121] [OXA-9: 39648 - 40472] [TEM-183: 41172 - 41762] ;KPC-3;28240;29121;[integron_01: 3095 - 5188] [integron_02: 38125 - 42570] 
CP009867.1;Pantoea sp.;PSNIH2 plasmid pKPC-56a, complete sequence;54772;26-JUL-2016;USA;pKPC-56a;16;IncN;[unknown] ;KPC-2 ;[KPC-2: 31907 - 32788] ;KPC-2;31907;32788;[integron_01: 3095 - 5188] 
CP009881.1;Pantoea sp.;PSNIH1 plasmid pKPC-1c5, complete sequence;50991;26-JUL-2016;USA;pKPC-1c5;16;IncN;[unknown] ;KPC-2 ;[KPC-2: 28240 - 29121] ;KPC-2;28240;29121;[integron_01: 3095 - 5188] 
CP010362.1;Klebsiella pneumoniae;strain 38544 plasmid p38544-85.403kb, complete sequence;86624;26-JUL-2016;unknown;p38544-85.403kb;99;unknown;[Tn1721] [Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 41631 - 42512] [TEM-181: 29585 - 30445] [OXA-9: 31145 - 31969] ;KPC-2;41631;42512;[integron_01: 1159 - 1755] [integron_02: 14923 - 15867] [integron_03: 60470 - 67807] 
CP010363.1;Enterobacter hormaechei;subsp. oharae strain 34978 plasmid p34978-139.941kb, complete sequence;141941;24-JUN-2016;USA;p34978-139.941kb;58;IncFIA;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 51911 - 52792] [TEM-181: 64775 - 65635] [OXA-9: 63251 - 64075] ;KPC-3;51911;52792;[integron_01: 61728 - 64592] [integron_02: 79027 - 81036] 
CP010374.1;Enterobacter hormaechei;subsp. steigerwaltii strain 34977 plasmid p34977-43.621kb, complete sequence;44245;24-JUN-2016;USA;p34977-43.621kb;64;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 42090 - 42971] [TEM-1: 32227 - 33087] ;KPC-2;42090;42971; No Integron found
CP010379.1;Enterobacter hormaechei;subsp. hormaechei strain 34983 plasmid p34983-43.621kb, complete sequence;44245;27-JUN-2016;USA;p34983-43.621kb;64;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 13697 - 14578] [TEM-1: 23581 - 24441] ;KPC-2;13697;14578; No Integron found
CP010387.1;Enterobacter hormaechei;subsp. oharae strain 34399 plasmid p34399-43.500kb, complete sequence;44122;24-JUN-2016;USA;p34399-43.500kb;64;unknown;[Tn3] ;KPC-3 TEM-181 ;[KPC-3: 41651 - 42532] [TEM-181: 8036 - 8896] ;KPC-3;41651;42532; No Integron found
CP010396.1;Klebsiella pneumoniae;strain 34618 plasmid p34618-71.572kb, complete sequence;72595;26-JUL-2016;USA;p34618-71.572kb;98;unknown;[Tn1721] [Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 55676 - 56557] [TEM-181: 43630 - 44490] [OXA-9: 45190 - 46014] ;KPC-2;55676;56557;[integron_01: 2943 - 10280] [integron_02: 28967 - 29911] 
CP010575.1;Klebsiella pneumoniae;strain 32192 plasmid sequence;73905;26-JUL-2016;USA;unnamed;98;unknown;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 33517 - 34398] [TEM-181: 45583 - 46443] [OXA-9: 44059 - 44883] ;KPC-2;33517;34398;[integron_01: 6984 - 14320] [integron_02: 60816 - 61760] 
CP010881.1;Escherichia coli;strain MNCRE44 plasmid pMNCRE44_5, complete sequence;118472;09-DEC-2016;unknown;pMNCRE44_5;76;IncX3;[Tn3] ;KPC-3 KPC-3 SHV-12 TEM-181 OXA-9 ;[KPC-3: 34424 - 35305] [KPC-3: 87746 - 88627] [SHV-12: 72814 - 73674] [TEM-181: 21581 - 22441] [OXA-9: 23141 - 23965] ;KPC-3;34424;35305;[integron_01: 22624 - 25488] 
CP011571.1;Enterobacter cloacae;strain CAV1311 plasmid pKPC_CAV1311, complete sequence;91745;09-JUN-2015;USA;pKPC_CAV1311;92;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 16432 - 17313] [TEM-1: 26129 - 26989] ;KPC-2;16432;17313;[integron_01: 70157 - 72618] 
CP011573.1;Klebsiella aerogenes;strain CAV1320 plasmid pKPC_CAV1320, complete sequence;14181;21-SEP-2017;USA;pKPC_CAV1320;16;unknown;[unknown] ;KPC-2 ;[KPC-2: 10965 - 11846] ;KPC-2;10965;11846; No Integron found
CP011575.1;Klebsiella pneumoniae;strain CAV1392 plasmid pKPC_CAV1392, complete sequence;44245;09-JUN-2015;USA;pKPC_CAV1392;64;unknown;[Tn3] ;KPC-3 TEM-1 ;[KPC-3: 31532 - 32413] [TEM-1: 41416 - 42276] ;KPC-3;31532;32413; No Integron found
CP011580.1;Enterobacter cloacae;strain CAV1411 plasmid pKPC_CAV1411, complete sequence;91745;09-JUN-2015;USA;pKPC_CAV1411;92;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 16432 - 17313] [TEM-1: 26129 - 26989] ;KPC-2;16432;17313;[integron_01: 37690 - 40151] 
CP011582.1;Enterobacter cloacae;strain CAV1668 plasmid pKPC_CAV1668, complete sequence;44054;09-JUN-2015;USA;pKPC_CAV1668;64;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 31532 - 32413] [TEM-1: 41228 - 42088] ;KPC-2;31532;32413; No Integron found
CP011589.1;Enterobacter asburiae;strain CAV1043 plasmid pKPC_CAV1043, complete sequence;59983;09-JUN-2015;USA;pKPC_CAV1043;16;IncN;[unknown] ;KPC-3 ;[KPC-3: 20801 - 21682] ;KPC-3;20801;21682;[integron_01: 3639 - 5732] [integron_02: 11595 - 11751] 
CP011608.1;Citrobacter freundii;strain CAV1321 plasmid pKPC_CAV1321-45, complete sequence;45487;09-JUN-2015;USA;pKPC_CAV1321-45;64;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 32757 - 33638] [TEM-1: 42641 - 43501] ;KPC-2;32757;33638; No Integron found
CP011611.1;Citrobacter freundii;strain CAV1321 plasmid pKPC_CAV1321-244, complete sequence;247191;09-JUN-2015;USA;pKPC_CAV1321-244;12;unknown;[Tn3] ;KPC-2 TEM-1 OXA-1 ;[KPC-2: 37144 - 38025] [TEM-1: 27280 - 28140] [OXA-1: 20909 - 21739] ;KPC-2;37144;38025;[integron_01: 18919 - 23616] 
CP011622.1;Klebsiella pneumoniae;strain CAV1344 plasmid pKPC_CAV1344, complete sequence;179019;09-JUN-2015;USA;pKPC_CAV1344;30;IncA/C2;[Tn21] [Tn3] ;KPC-2 SHV-189 TEM-181 OXA-9 ;[KPC-2: 114783 - 115664] [SHV-189: 130369 - 131229] [TEM-181: 127715 - 128575] [OXA-9: 126191 - 127015] ;KPC-2;114783;115664;[integron_01: 97131 - 99327] [integron_02: 124668 - 127532] 
CP011635.1;Klebsiella oxytoca;strain CAV1374 plasmid pKPC_CAV1374, complete sequence;337713;09-JUN-2015;USA;pKPC_CAV1374;5;IncHI1B;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 207806 - 208687] [TEM-1: 197943 - 198803] ;KPC-2;207806;208687; No Integron found
CP011639.1;Serratia marcescens;strain CAV1492 plasmid pKPC_CAV1492, complete sequence;70146;09-JUN-2015;USA;pKPC_CAV1492;117;IncU;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 35584 - 36465] [TEM-181: 5177 - 6037] [OXA-9: 6737 - 7561] ;KPC-2;35584;36465;[integron_01: 6220 - 9084] [integron_02: 40311 - 43241] 
CP011645.1;Klebsiella pneumoniae;strain CAV1596 plasmid pKPC_CAV1596-78, complete sequence;78913;09-JUN-2015;USA;pKPC_CAV1596-78;104;unknown;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 61090 - 61971] [TEM-181: 74022 - 74882] [OXA-9: 72498 - 73322] ;KPC-3;61090;61971;[integron_01: 70975 - 73839] 
CP011646.1;Klebsiella pneumoniae;strain CAV1596 plasmid pKPC_CAV1596-97, complete sequence;98084;09-JUN-2015;USA;pKPC_CAV1596-97;90;IncN3;[unknown] ;KPC-3 SHV-12 ;[KPC-3: 37351 - 38232] [SHV-12: 91050 - 91910] ;KPC-3;37351;38232; No Integron found
CP011649.1;Enterobacter cloacae;strain CAV1669 plasmid pKPC_CAV1669, complete sequence;91745;09-JUN-2015;USA;pKPC_CAV1669;92;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 16432 - 17313] [TEM-1: 26129 - 26989] ;KPC-2;16432;17313;[integron_01: 37690 - 40151] 
CP011656.1;Citrobacter freundii;strain CAV1741 plasmid pKPC_CAV1741, complete sequence;131042;09-JUN-2015;USA;pKPC_CAV1741;64;IncL/M;[Tn3] ;KPC-2 KPC-2 SHV-30 TEM-1 TEM-1 ;[KPC-2: 117107 - 117988] [KPC-2: 31532 - 32413] [SHV-30: 56532 - 57392] [TEM-1: 41416 - 42276] [TEM-1: 126991 - 127851] ;KPC-2;117107;117988;[integron_01: 48625 - 51728] 
CP011978.1;Klebsiella pneumoniae;DMC1097 plasmid pDMC1097-77.775kb, complete sequence;78887;20-AUG-2015;unknown;pDMC1097-77.775kb;104;unknown;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 61052 - 61933] [TEM-181: 73984 - 74844] [OXA-9: 72460 - 73284] ;KPC-3;61052;61933;[integron_01: 70937 - 73801] 
CP011981.1;Klebsiella pneumoniae;500_1420 plasmid p500_1420-130.552kb, complete sequence;132418;20-AUG-2015;unknown;p500_1420-130.552kb;63;IncFIB;[unknown] ;KPC-2 ;[KPC-2: 12173 - 13054] ;KPC-2;12173;13054;[integron_01: 60741 - 60820] 
CP011986.1;Klebsiella pneumoniae;UHKPC07 plasmid pUHKPC07-113.639kb, complete sequence;115263;20-AUG-2015;unknown;pUHKPC07-113.639kb;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 12173 - 13054] [TEM-181: 24240 - 25100] [OXA-9: 22716 - 23540] ;KPC-2;12173;13054;[integron_01: 47533 - 47612] 
CP011991.1;Klebsiella pneumoniae;UHKPC33 plasmid pUHKPC33-113.638kb, complete sequence;115262;20-AUG-2015;unknown;pUHKPC33-113.638kb;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 81054 - 81935] [TEM-181: 93121 - 93981] [OXA-9: 91597 - 92421] ;KPC-2;81054;81935;[integron_01: 2776 - 2855] 
CP011999.1;Klebsiella pneumoniae;strain KLP28 plasmid pKp28, complete sequence;84591;27-JAN-2016;USA;pKp28;101;IncFIA;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 27891 - 28772] [TEM-181: 15845 - 16705] [OXA-9: 17405 - 18229] ;KPC-2;27891;28772;[integron_01: 42391 - 44520] 
CP012000.1;Klebsiella pneumoniae;strain KLP41 plasmid pKp41, complete sequence;115250;27-JUN-2016;USA;pKp41;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 12170 - 13051] [TEM-181: 24237 - 25097] [OXA-9: 22713 - 23537] ;KPC-2;12170;13051;[integron_01: 47525 - 47604] 
CP012163.1;Enterobacter cloacae;complex sp. 35734 plasmid p35734-109.753kb, complete sequence;111321;06-JUL-2016;USA;p35734-109.753kb;81;unknown;[Tn3] ;KPC-3 KPC-3 TEM-181 OXA-9 OXA-9 ;[KPC-3: 59279 - 60160] [KPC-3: 6480 - 7361] [TEM-181: 75182 - 76042] [OXA-9: 70687 - 71201] [OXA-9: 74155 - 74482] ;KPC-3;59279;60160;[integron_01: 69164 - 70627] 
CP012168.1;Enterobacter hormaechei;subsp. steigerwaltii strain 34998 plasmid p34998-239.973kb, complete sequence;243402;24-JUN-2016;unknown;p34998-239.973kb;14;IncA/C;[Tn21] [Tn3] ;KPC-4 TEM-181 OXA-1 ;[KPC-4: 174676 - 175557] [TEM-181: 168099 - 168959] [OXA-1: 195089 - 195919] ;KPC-4;174676;175557;[integron_01: 143336 - 146352] [integron_02: 193212 - 197692] 
CP013325.1;Klebsiella pneumoniae;strain CAV1193 plasmid pKPC_CAV1193, complete sequence;50274;09-MAR-2016;USA;pKPC_CAV1193;64;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 37476 - 38357] [TEM-1: 47360 - 48220] ;KPC-2;37476;38357; No Integron found
CP014669.1;Escherichia coli;strain ECONIH2 plasmid pKpQIL-571, complete sequence;115479;15-JUN-2016;USA;pKpQIL-571;60;IncFIB;[unknown] ;KPC-3 ;[KPC-3: 15984 - 16865] ;KPC-3;15984;16865;[integron_01: 51557 - 51636] 
CP014765.1;Klebsiella pneumoniae;strain KPNIH39 plasmid pKpQIL-9b8, complete sequence;108082;25-AUG-2016;USA;pKpQIL-9b8;86;unknown;[unknown] ;KPC-3 ;[KPC-3: 15984 - 16865] ;KPC-3;15984;16865; No Integron found
CP015387.1;Klebsiella pneumoniae;strain NY9 plasmid pNY9_2, complete sequence;141933;13-FEB-2017;USA;pNY9_2;49;unknown;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 105734 - 106615] [TEM-181: 118598 - 119458] [OXA-9: 117074 - 117898] ;KPC-3;105734;106615;[integron_01: 115551 - 118415] [integron_02: 132850 - 134859] 
CP015395.1;Klebsiella pneumoniae;strain CR14 plasmid pCR14_3, complete sequence;118083;13-FEB-2017;USA;pCR14_3;77;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 38549 - 39430] [TEM-181: 26503 - 27363] [OXA-9: 28063 - 28887] ;KPC-2;38549;39430;[integron_01: 2653 - 2732] 
CP015824.1;Klebsiella pneumoniae;isolate blood sample 2 plasmid 2, complete sequence;104621;16-AUG-2016;Switzerland;2;60;IncFIB;[unknown] ;KPC-3 ;[KPC-3: 49435 - 50316] ;KPC-3;49435;50316;[integron_01: 71569 - 71648] 
CP015991.1;Klebsiella pneumoniae;strain BR plasmid pWSZBR, complete sequence;77341;25-JUL-2016;China;pWSZBR;110;unknown;[Tn3] ;KPC-2 OXA-1 ;[KPC-2: 41702 - 42583] [OXA-1: 33181 - 34011] ;KPC-2;41702;42583;[integron_01: 29778 - 35727] 
CP016381.1;Aeromonas hydrophila;strain AHNIH1 plasmid pASP-135, complete sequence;145396;18-JUL-2016;USA;pASP-135;55;unknown;[Tn21] ;KPC-2 CARB-2 SHV-12 ;[KPC-2: 10918 - 11799] [CARB-2: 93244 - 94110] [SHV-12: 3187 - 4047] ;KPC-2;10918;11799;[integron_01: 92025 - 99811] [integron_02: 104528 - 107439] [integron_03: 113636 - 114650] 
CP016402.1;Klebsiella pneumoniae;subsp. pneumoniae strain F77 plasmid pF77, complete sequence;57824;31-OCT-2016;China;pF77;26;unknown;[unknown] ;KPC-2 CTX-M-65 SHV-12 ;[KPC-2: 52868 - 53749] [CTX-M-65: 28629 - 29504] [SHV-12: 44024 - 44881] ;KPC-2;52868;53749; No Integron found
CP016403.1;Klebsiella pneumoniae;subsp. pneumoniae strain F5 plasmid pF5, complete sequence;106627;31-OCT-2016;China;pF5;26;unknown;[Tn1721] ;KPC-2 CTX-M-65 SHV-12 ;[KPC-2: 91933 - 92814] [CTX-M-65: 42787 - 43662] [SHV-12: 100802 - 101662] ;KPC-2;91933;92814; No Integron found
CP017083.1;Proteus mirabilis;strain T21 plasmid pT211, complete sequence;24572;18-SEP-2017;China;pT211;124;IncN;[Tn1721] [Tn3] ;KPC-2 ;[KPC-2: 6147 - 7028] ;KPC-2;6147;7028; No Integron found
CP017086.1;Proteus mirabilis;strain T18 plasmid pT18, complete sequence;59879;18-SEP-2017;China;pT18;124;IncN;[Tn1721] [Tn3] ;KPC-2 CTX-M-65 TEM-1 ;[KPC-2: 2916 - 3797] [CTX-M-65: 42535 - 43410] [TEM-1: 50750 - 51610] ;KPC-2;2916;3797; No Integron found
CP017929.1;Klebsiella oxytoca;strain CAV1015 plasmid pKPC_UVA02, complete sequence;114721;07-NOV-2016;USA;pKPC_UVA02;79;IncFII;[Tn21] ;KPC-2 ;[KPC-2: 86740 - 87621] ;KPC-2;86740;87621; No Integron found
CP017937.1;Klebsiella pneumoniae;strain CAV1016 plasmid pKPC_UVA01, complete sequence;44245;07-NOV-2016;USA;pKPC_UVA01;64;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 31532 - 32413] [TEM-1: 41416 - 42276] ;KPC-2;31532;32413; No Integron found
CP017992.1;Enterobacter cloacae;complex sp. ECNIH7 plasmid pENT-2c5, complete sequence;80175;14-JUL-2017;USA;pENT-2c5;105;IncFII;[unknown] ;KPC-33 ;[KPC-33: 73440 - 73754] ;KPC-33;73440;73754; No Integron found
CP017993.1;Enterobacter cloacae;complex sp. ECNIH7 plasmid pKPC-98f, complete sequence;21489;14-JUL-2017;USA;pKPC-98f;147;unknown;[unknown] ;KPC-2 ;[KPC-2: 6343 - 7224] ;KPC-2;6343;7224; No Integron found
CP018426.1;Klebsiella pneumoniae;strain MNCRE69 plasmid pMNCRE69_3, complete sequence;52802;13-DEC-2016;USA;pMNCRE69_3;64;unknown;[unknown] ;KPC-2 ;[KPC-2: 30216 - 31097] ;KPC-2;30216;31097; No Integron found
CP018432.1;Klebsiella pneumoniae;strain MNCRE78 plasmid pMNCRE78_3, complete sequence;52803;13-DEC-2016;USA;pMNCRE78_3;64;unknown;[unknown] ;KPC-2 ;[KPC-2: 30215 - 31096] ;KPC-2;30215;31096; No Integron found
CP018436.1;Klebsiella pneumoniae;strain MNCRE53 plasmid pMNCRE53_3, complete sequence;52802;13-DEC-2016;USA;pMNCRE53_3;64;unknown;[unknown] ;KPC-2 ;[KPC-2: 30216 - 31097] ;KPC-2;30216;31097; No Integron found
CP018455.1;Klebsiella pneumoniae;strain SWU01 plasmid unnamed, complete sequence;164875;13-DEC-2016;China;unnamed;39;unknown;[Tn3] ;KPC-2 CTX-M-65 SHV-12 TEM-1 ;[KPC-2: 21518 - 22399] [CTX-M-65: 2607 - 3482] [SHV-12: 12670 - 13530] [TEM-1: 157349 - 158209] ;KPC-2;21518;22399; No Integron found
